TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-03-12,TERRES DE L'EBRE,10-19,1
2020-03-12,METROPOLITANA NORD,20-29,11
2020-03-12,METROPOLITANA NORD,60-69,14
2020-03-12,METROPOLITANA NORD,80-89,12
2020-03-12,LLEIDA,80-89,3
2020-03-12,LLEIDA,50-59,3
2020-03-12,LLEIDA,60-69,2
2020-03-12,LLEIDA,70-79,7
2020-03-12,LLEIDA,40-49,3
2020-03-12,METROPOLITANA NORD,40-49,15
2020-03-12,METROPOLITANA NORD,50-59,17
2020-03-12,METROPOLITANA NORD,30-39,21
2020-03-12,METROPOLITANA NORD,70-79,11
2020-03-13,CATALUNYA CENTRAL,60-69,10
2020-03-13,CATALUNYA CENTRAL,30-39,13
2020-03-13,CATALUNYA CENTRAL,40-49,8
2020-03-13,CATALUNYA CENTRAL,70-79,7
2020-03-13,CATALUNYA CENTRAL,50-59,14
2020-03-13,GIRONA,70-79,4
2020-03-13,GIRONA,50-59,5
2020-03-13,GIRONA,80-89,5
2020-03-13,GIRONA,30-39,9
2020-03-13,GIRONA,20-29,2
2020-03-13,GIRONA,40-49,5
2020-03-13,CATALUNYA CENTRAL,20-29,2
2020-03-13,ALT PIRINEU I ARAN,40-49,2
2020-03-13,CAMP DE TARRAGONA,70-79,1
2020-03-13,GIRONA,60-69,7
2020-03-13,BARCELONA CIUTAT,10-19,1
2020-03-13,BARCELONA CIUTAT,60-69,39
2020-03-13,BARCELONA CIUTAT,30-39,21
2020-03-13,BARCELONA CIUTAT,80-89,15
2020-03-13,BARCELONA CIUTAT,70-79,22
2020-03-13,BARCELONA CIUTAT,90+,6
2020-03-13,BARCELONA CIUTAT,20-29,9
2020-03-13,BARCELONA CIUTAT,40-49,36
2020-03-13,BARCELONA CIUTAT,50-59,43
2020-03-13,CAMP DE TARRAGONA,50-59,1
2020-03-13,METROPOLITANA SUD,70-79,14
2020-03-13,METROPOLITANA NORD,90+,7
2020-03-13,METROPOLITANA NORD,60-69,15
2020-03-13,METROPOLITANA SUD,20-29,6
2020-03-13,METROPOLITANA SUD,50-59,20
2020-03-13,METROPOLITANA SUD,80-89,10
2020-03-13,METROPOLITANA SUD,40-49,27
2020-03-13,METROPOLITANA SUD,30-39,13
2020-03-13,METROPOLITANA SUD,60-69,14
2020-03-13,METROPOLITANA SUD,90+,2
2020-03-13,TERRES DE L'EBRE,40-49,1
2020-03-13,METROPOLITANA NORD,40-49,34
2020-03-13,METROPOLITANA NORD,80-89,11
2020-03-13,GIRONA,10-19,1
2020-03-13,METROPOLITANA NORD,30-39,17
2020-03-13,LLEIDA,40-49,5
2020-03-13,LLEIDA,70-79,4
2020-03-13,LLEIDA,50-59,2
2020-03-13,LLEIDA,80-89,3
2020-03-13,LLEIDA,20-29,2
2020-03-13,METROPOLITANA NORD,70-79,16
2020-03-13,METROPOLITANA NORD,50-59,33
2020-03-13,METROPOLITANA NORD,20-29,12
2020-03-14,CATALUNYA CENTRAL,70-79,8
2020-03-14,CATALUNYA CENTRAL,80-89,5
2020-03-14,CATALUNYA CENTRAL,90+,1
2020-03-14,CATALUNYA CENTRAL,60-69,6
2020-03-14,CATALUNYA CENTRAL,40-49,10
2020-03-14,CAMP DE TARRAGONA,10-19,1
2020-03-14,CAMP DE TARRAGONA,30-39,1
2020-03-14,CAMP DE TARRAGONA,40-49,3
2020-03-14,CAMP DE TARRAGONA,50-59,2
2020-03-14,CAMP DE TARRAGONA,80-89,1
2020-03-14,CAMP DE TARRAGONA,70-79,4
2020-03-14,CATALUNYA CENTRAL,20-29,12
2020-03-14,CATALUNYA CENTRAL,50-59,15
2020-03-14,CATALUNYA CENTRAL,30-39,3
2020-03-14,BARCELONA CIUTAT,70-79,16
2020-03-14,BARCELONA CIUTAT,90+,4
2020-03-14,ALT PIRINEU I ARAN,50-59,1
2020-03-14,BARCELONA CIUTAT,40-49,20
2020-03-14,BARCELONA CIUTAT,50-59,26
2020-03-14,BARCELONA CIUTAT,30-39,14
2020-03-14,BARCELONA CIUTAT,60-69,17
2020-03-14,BARCELONA CIUTAT,80-89,12
2020-03-14,BARCELONA CIUTAT,20-29,9
2020-03-14,BARCELONA CIUTAT,10-19,2
2020-03-14,METROPOLITANA SUD,40-49,13
2020-03-14,GIRONA,80-89,3
2020-03-14,METROPOLITANA NORD,70-79,17
2020-03-14,METROPOLITANA NORD,20-29,6
2020-03-14,METROPOLITANA NORD,80-89,16
2020-03-14,METROPOLITANA NORD,40-49,23
2020-03-14,METROPOLITANA SUD,70-79,14
2020-03-14,METROPOLITANA SUD,20-29,8
2020-03-14,METROPOLITANA SUD,10-19,1
2020-03-14,METROPOLITANA SUD,30-39,8
2020-03-14,METROPOLITANA SUD,80-89,9
2020-03-14,METROPOLITANA SUD,50-59,10
2020-03-14,METROPOLITANA SUD,60-69,12
2020-03-14,METROPOLITANA SUD,90+,1
2020-03-14,TERRES DE L'EBRE,60-69,1
2020-03-14,TERRES DE L'EBRE,30-39,1
2020-03-14,GIRONA,70-79,1
2020-03-14,TERRES DE L'EBRE,50-59,1
2020-03-14,METROPOLITANA NORD,50-59,22
2020-03-14,GIRONA,50-59,5
2020-03-14,GIRONA,30-39,6
2020-03-14,GIRONA,20-29,1
2020-03-14,LLEIDA,40-49,2
2020-03-14,LLEIDA,30-39,2
2020-03-14,LLEIDA,50-59,1
2020-03-14,LLEIDA,70-79,1
2020-03-14,METROPOLITANA NORD,60-69,25
2020-03-14,GIRONA,40-49,2
2020-03-14,METROPOLITANA NORD,30-39,13
2020-03-14,METROPOLITANA NORD,10-19,1
2020-03-14,METROPOLITANA NORD,90+,3
2020-03-15,CATALUNYA CENTRAL,50-59,8
2020-03-15,CATALUNYA CENTRAL,60-69,12
2020-03-15,CATALUNYA CENTRAL,40-49,8
2020-03-15,CAMP DE TARRAGONA,40-49,1
2020-03-15,CATALUNYA CENTRAL,80-89,8
2020-03-15,CATALUNYA CENTRAL,70-79,13
2020-03-15,CATALUNYA CENTRAL,90+,3
2020-03-15,CAMP DE TARRAGONA,70-79,1
2020-03-15,GIRONA,60-69,3
2020-03-15,CATALUNYA CENTRAL,20-29,1
2020-03-15,GIRONA,30-39,12
2020-03-15,GIRONA,70-79,4
2020-03-15,GIRONA,80-89,2
2020-03-15,GIRONA,20-29,3
2020-03-15,GIRONA,40-49,2
2020-03-15,CAMP DE TARRAGONA,30-39,1
2020-03-15,CATALUNYA CENTRAL,0-9,1
2020-03-15,CAMP DE TARRAGONA,20-29,1
2020-03-15,ALT PIRINEU I ARAN,20-29,1
2020-03-15,BARCELONA CIUTAT,50-59,22
2020-03-15,GIRONA,50-59,7
2020-03-15,BARCELONA CIUTAT,30-39,27
2020-03-15,BARCELONA CIUTAT,20-29,14
2020-03-15,BARCELONA CIUTAT,70-79,25
2020-03-15,BARCELONA CIUTAT,0-9,1
2020-03-15,BARCELONA CIUTAT,60-69,20
2020-03-15,BARCELONA CIUTAT,90+,9
2020-03-15,BARCELONA CIUTAT,80-89,15
2020-03-15,BARCELONA CIUTAT,40-49,21
2020-03-15,LLEIDA,30-39,4
2020-03-15,METROPOLITANA NORD,40-49,30
2020-03-15,METROPOLITANA NORD,70-79,26
2020-03-15,METROPOLITANA NORD,20-29,13
2020-03-15,METROPOLITANA SUD,60-69,16
2020-03-15,METROPOLITANA SUD,30-39,11
2020-03-15,METROPOLITANA SUD,40-49,15
2020-03-15,METROPOLITANA SUD,10-19,1
2020-03-15,METROPOLITANA SUD,90+,3
2020-03-15,METROPOLITANA SUD,50-59,19
2020-03-15,METROPOLITANA NORD,0-9,1
2020-03-15,METROPOLITANA SUD,80-89,7
2020-03-15,METROPOLITANA SUD,70-79,19
2020-03-15,METROPOLITANA SUD,20-29,7
2020-03-15,TERRES DE L'EBRE,60-69,1
2020-03-15,TERRES DE L'EBRE,80-89,1
2020-03-15,METROPOLITANA NORD,90+,9
2020-03-15,METROPOLITANA NORD,50-59,35
2020-03-15,LLEIDA,50-59,2
2020-03-15,METROPOLITANA NORD,60-69,31
2020-03-15,LLEIDA,20-29,1
2020-03-15,LLEIDA,70-79,1
2020-03-15,LLEIDA,60-69,2
2020-03-15,LLEIDA,90+,2
2020-03-15,METROPOLITANA NORD,30-39,24
2020-03-15,METROPOLITANA NORD,80-89,19
